DATE,JURISDICTION,LOCATION,AGE_GROUP,METRIC,BEST_DETECTION_METHOD,DETECTION_METHOD,AMPHETAMINE,CANNABIS,COCAINE,ECSTASY,METHYLAMPHETAMINE,OTHER,OTHER2,COUNT,FINES,ARRESTS,CHARGES
1/1/2023,NSW,Major Cities of Australia,40-64,positive_drug_tests,Yes,Laboratory or Toxicology (Stage 3),Yes,No,No,Yes,No,No,No,1,1,0,0
1/1/2023,NSW,Major Cities of Australia,40-64,positive_drug_tests,Yes,Laboratory or Toxicology (Stage 3),Yes,No,Yes,No,No,No,No,2,0,0,2
1/1/2023,NSW,Major Cities of Australia,40-64,positive_drug_tests,Yes,Laboratory or Toxicology (Stage 3),Yes,Yes,No,No,No,No,No,27,10,0,17
1/1/2023,NSW,Major Cities of Australia,40-64,positive_drug_tests,Yes,Laboratory or Toxicology (Stage 3),Yes,Yes,Yes,No,No,No,No,1,0,0,1
1/1/2023,NSW,Major Cities of Australia,65 and over,positive_drug_tests,Yes,Laboratory or Toxicology (Stage 3),No,Yes,No,No,No,No,No,1,1,0,0
1/1/2023,NSW,Major Cities of Australia,65 and over,positive_drug_tests,Yes,Laboratory or Toxicology (Stage 3),Yes,No,No,No,No,No,No,1,0,0,1
1/1/2023,NSW,Outer Regional Australia,17-25,positive_drug_tests,Yes,Laboratory or Toxicology (Stage 3),No,Yes,No,No,No,No,No,4,3,0,1
1/1/2023,NSW,Outer Regional Australia,17-25,positive_drug_tests,Yes,Laboratory or Toxicology (Stage 3),Yes,No,No,No,No,No,No,2,0,0,2
1/1/2023,NSW,Outer Regional Australia,17-25,positive_drug_tests,Yes,Laboratory or Toxicology (Stage 3),Yes,No,Yes,Yes,No,No,No,1,0,0,1
1/1/2023,NSW,Outer Regional Australia,17-25,positive_drug_tests,Yes,Laboratory or Toxicology (Stage 3),Yes,Yes,No,No,No,No,No,1,0,0,1
1/1/2023,NSW,Outer Regional Australia,26-39,positive_drug_tests,Yes,Laboratory or Toxicology (Stage 3),No,No,Yes,No,No,No,No,1,1,0,0
1/1/2023,NSW,Outer Regional Australia,26-39,positive_drug_tests,Yes,Laboratory or Toxicology (Stage 3),No,Yes,No,No,No,No,No,5,2,0,3
1/1/2023,NSW,Outer Regional Australia,26-39,positive_drug_tests,Yes,Laboratory or Toxicology (Stage 3),No,Yes,Yes,No,No,No,No,1,1,0,0
1/1/2023,NSW,Outer Regional Australia,26-39,positive_drug_tests,Yes,Laboratory or Toxicology (Stage 3),Yes,No,No,No,No,No,No,9,4,0,5
1/1/2023,NSW,Outer Regional Australia,26-39,positive_drug_tests,Yes,Laboratory or Toxicology (Stage 3),Yes,No,Yes,No,No,No,No,1,1,0,0
1/1/2023,NSW,Outer Regional Australia,26-39,positive_drug_tests,Yes,Laboratory or Toxicology (Stage 3),Yes,Yes,No,No,No,No,No,3,0,0,3
1/1/2023,NSW,Outer Regional Australia,40-64,positive_drug_tests,Yes,Laboratory or Toxicology (Stage 3),No,No,No,No,No,No,Yes,2,1,0,1
1/1/2023,NSW,Outer Regional Australia,40-64,positive_drug_tests,Yes,Laboratory or Toxicology (Stage 3),No,Yes,No,No,No,No,No,9,1,0,8
1/1/2023,NSW,Outer Regional Australia,40-64,positive_drug_tests,Yes,Laboratory or Toxicology (Stage 3),Yes,No,No,No,No,No,No,7,2,0,5
1/1/2023,NSW,Outer Regional Australia,40-64,positive_drug_tests,Yes,Laboratory or Toxicology (Stage 3),Yes,Yes,No,No,No,No,No,10,2,0,8
1/1/2023,NSW,Outer Regional Australia,65 and over,positive_drug_tests,Yes,Laboratory or Toxicology (Stage 3),No,Yes,No,No,No,No,No,1,0,0,1
1/1/2023,NSW,Remote Australia,26-39,positive_drug_tests,Yes,Laboratory or Toxicology (Stage 3),No,Yes,No,No,No,No,No,3,2,0,1
1/1/2023,NSW,Remote Australia,40-64,positive_drug_tests,Yes,Laboratory or Toxicology (Stage 3),No,Yes,No,No,No,No,No,1,0,0,1
1/1/2023,NSW,Remote Australia,40-64,positive_drug_tests,Yes,Laboratory or Toxicology (Stage 3),Yes,No,No,No,No,No,No,2,0,0,2
1/1/2023,NSW,Remote Australia,40-64,positive_drug_tests,Yes,Laboratory or Toxicology (Stage 3),Yes,Yes,No,No,No,No,No,1,0,0,1
1/1/2023,NSW,Unknown,17-25,positive_drug_tests,Yes,Laboratory or Toxicology (Stage 3),No,Yes,No,No,No,No,No,1,1,0,0
1/1/2023,NSW,Unknown,26-39,positive_drug_tests,Yes,Laboratory or Toxicology (Stage 3),Yes,No,No,No,No,No,No,1,1,0,0
1/1/2023,NT,Unknown,17-25,positive_drug_tests,Yes,Indicator (Stage 1),No,Yes,No,No,No,No,No,17,17,0,0
1/1/2023,NT,Unknown,26-39,positive_drug_tests,Yes,Indicator (Stage 1),No,Yes,No,No,No,No,No,21,21,0,0
1/1/2023,NT,Unknown,40-64,positive_drug_tests,Yes,Indicator (Stage 1),No,Yes,No,No,No,No,No,10,10,0,0
1/1/2023,VIC,Inner Regional Australia,17-25,positive_drug_tests,Yes,Indicator (Stage 1),No,No,No,Yes,No,No,No,2,0,0,0
1/1/2023,VIC,Inner Regional Australia,17-25,positive_drug_tests,Yes,Indicator (Stage 1),No,Yes,No,No,No,No,No,13,0,0,0
1/1/2023,VIC,Inner Regional Australia,17-25,positive_drug_tests,Yes,Indicator (Stage 1),No,Yes,No,Yes,No,No,No,4,0,0,0
1/1/2023,VIC,Inner Regional Australia,17-25,positive_drug_tests,Yes,Indicator (Stage 1),Yes,No,No,No,No,No,No,4,0,0,0
1/1/2023,VIC,Inner Regional Australia,17-25,positive_drug_tests,Yes,Indicator (Stage 1),Yes,Yes,No,No,No,No,No,4,0,0,0
1/1/2023,VIC,Inner Regional Australia,26-39,positive_drug_tests,Yes,Indicator (Stage 1),No,No,No,Yes,No,No,No,3,0,0,0
1/1/2023,VIC,Inner Regional Australia,26-39,positive_drug_tests,Yes,Indicator (Stage 1),No,Yes,No,No,No,No,No,31,0,0,0
1/1/2023,VIC,Inner Regional Australia,26-39,positive_drug_tests,Yes,Indicator (Stage 1),No,Yes,No,Yes,No,No,No,1,0,0,0
1/1/2023,VIC,Inner Regional Australia,26-39,positive_drug_tests,Yes,Indicator (Stage 1),Yes,No,No,No,No,No,No,56,0,0,0
1/1/2023,VIC,Inner Regional Australia,26-39,positive_drug_tests,Yes,Indicator (Stage 1),Yes,No,No,Yes,No,No,No,2,0,0,0
1/1/2023,VIC,Inner Regional Australia,26-39,positive_drug_tests,Yes,Indicator (Stage 1),Yes,Yes,No,No,No,No,No,7,0,0,0
1/1/2023,VIC,Inner Regional Australia,40-64,positive_drug_tests,Yes,Indicator (Stage 1),No,Yes,No,No,No,No,No,20,0,0,0
1/1/2023,VIC,Inner Regional Australia,40-64,positive_drug_tests,Yes,Indicator (Stage 1),Yes,No,No,No,No,No,No,47,0,0,0
1/1/2023,VIC,Inner Regional Australia,40-64,positive_drug_tests,Yes,Indicator (Stage 1),Yes,No,No,Yes,No,No,No,1,0,0,0
1/1/2023,VIC,Inner Regional Australia,40-64,positive_drug_tests,Yes,Indicator (Stage 1),Yes,Yes,No,No,No,No,No,21,0,0,0
1/1/2023,VIC,Inner Regional Australia,65 and over,positive_drug_tests,Yes,Indicator (Stage 1),Yes,No,No,No,No,No,No,1,0,0,0
1/1/2023,VIC,Major Cities of Australia,17-25,positive_drug_tests,Yes,Indicator (Stage 1),No,No,No,Yes,No,No,No,1,0,0,0
1/1/2023,VIC,Major Cities of Australia,17-25,positive_drug_tests,Yes,Indicator (Stage 1),No,Yes,No,No,No,No,No,48,0,0,0
1/1/2023,VIC,Major Cities of Australia,17-25,positive_drug_tests,Yes,Indicator (Stage 1),No,Yes,No,Yes,No,No,No,2,0,0,0
1/1/2023,VIC,Major Cities of Australia,17-25,positive_drug_tests,Yes,Indicator (Stage 1),Yes,No,No,No,No,No,No,12,0,0,0
1/1/2023,VIC,Major Cities of Australia,17-25,positive_drug_tests,Yes,Indicator (Stage 1),Yes,No,No,Yes,No,No,No,2,0,0,0
1/1/2023,VIC,Major Cities of Australia,17-25,positive_drug_tests,Yes,Indicator (Stage 1),Yes,Yes,No,No,No,No,No,6,0,0,0
1/1/2023,VIC,Major Cities of Australia,17-25,positive_drug_tests,Yes,Indicator (Stage 1),Yes,Yes,No,Yes,No,No,No,1,0,0,0
1/1/2023,VIC,Major Cities of Australia,26-39,positive_drug_tests,Yes,Indicator (Stage 1),No,No,No,Yes,No,No,No,3,0,0,0
1/1/2023,VIC,Major Cities of Australia,26-39,positive_drug_tests,Yes,Indicator (Stage 1),No,Yes,No,No,No,No,No,59,0,0,0
1/1/2023,VIC,Major Cities of Australia,26-39,positive_drug_tests,Yes,Indicator (Stage 1),No,Yes,No,Yes,No,No,No,3,0,0,0
1/1/2023,VIC,Major Cities of Australia,26-39,positive_drug_tests,Yes,Indicator (Stage 1),Yes,No,No,No,No,No,No,154,0,0,0
1/1/2023,VIC,Major Cities of Australia,26-39,positive_drug_tests,Yes,Indicator (Stage 1),Yes,No,No,Yes,No,No,No,2,0,0,0
1/1/2023,VIC,Major Cities of Australia,26-39,positive_drug_tests,Yes,Indicator (Stage 1),Yes,Yes,No,No,No,No,No,37,0,0,0
1/1/2023,VIC,Major Cities of Australia,26-39,positive_drug_tests,Yes,Indicator (Stage 1),Yes,Yes,No,Yes,No,No,No,1,0,0,0
1/1/2023,VIC,Major Cities of Australia,40-64,positive_drug_tests,Yes,Indicator (Stage 1),No,Yes,No,No,No,No,No,33,0,0,0
1/1/2023,VIC,Major Cities of Australia,40-64,positive_drug_tests,Yes,Indicator (Stage 1),Yes,No,No,No,No,No,No,169,0,0,0
1/1/2023,VIC,Major Cities of Australia,40-64,positive_drug_tests,Yes,Indicator (Stage 1),Yes,No,No,Yes,No,No,No,2,0,0,0
1/1/2023,VIC,Major Cities of Australia,40-64,positive_drug_tests,Yes,Indicator (Stage 1),Yes,Yes,No,No,No,No,No,52,0,0,0
1/1/2023,VIC,Outer Regional Australia,17-25,positive_drug_tests,Yes,Indicator (Stage 1),No,Yes,No,No,No,No,No,3,0,0,0
1/1/2023,VIC,Outer Regional Australia,17-25,positive_drug_tests,Yes,Indicator (Stage 1),Yes,No,No,No,No,No,No,2,0,0,0
